customer_id,payment_method,success_rate,cashback_offered,transaction_fee,customer_preference
668,2,0.97,4,1.87,3
4469,5,0.99,5,1.29,5
9338,7,1.0,3,1.83,3
6820,2,0.83,8,0.11,4
3720,1,0.92,2,1.79,5
2746,4,0.84,1,1.47,0
7484,4,0.85,6,0.43,5
540,1,0.95,1,0.6,5
4965,5,1.0,5,1.13,0
4836,1,0.92,7,0.34,6
3776,1,0.97,2,1.59,9
6043,0,0.8,2,1.6,4
7103,7,0.81,2,0.67,7
7313,6,0.92,0,0.23,4
5321,4,0.88,8,1.98,9
6133,0,0.98,4,0.58,4
7892,1,0.86,8,0.23,1
2780,3,0.89,4,0.73,3
925,0,0.91,6,1.94,3
1582,1,0.85,0,1.61,9
7715,4,0.98,8,1.01,9
3325,6,0.89,0,0.68,7
5714,1,0.88,3,0.9,2
7027,7,0.97,6,0.13,0
256,5,0.86,8,1.46,6
4805,2,0.96,0,0.29,8
1839,0,0.82,5,1.09,5
10,0,0.84,9,1.18,1
2872,0,0.99,4,0.1,1
8990,1,0.97,2,1.96,0
7410,6,0.88,9,0.67,5
7419,7,0.93,1,0.25,7
5125,6,0.99,0,1.72,0
1016,1,0.84,1,0.39,0
2194,1,0.81,3,0.15,0
8416,5,0.91,5,1.04,9
7450,3,0.83,4,0.35,4
4159,7,0.84,3,1.97,6
3926,0,0.98,7,0.12,3
6971,2,0.8,6,0.2,0
6939,0,0.96,3,1.68,0
4785,6,0.9,9,0.56,9
4001,1,0.91,4,1.83,2
1634,7,0.93,9,0.69,4
7267,4,0.89,4,0.23,4
8703,7,0.82,2,0.12,8
385,7,0.82,8,0.64,8
405,3,0.95,4,1.0,8
8176,0,0.84,9,0.1,7
2001,3,0.81,1,1.2,10
9861,4,1.0,3,0.73,8
5990,4,1.0,3,0.84,7
1461,5,0.88,4,0.6,7
7191,6,0.81,7,1.11,7
7141,2,0.95,4,0.54,7
3637,5,0.97,0,0.36,4
4810,1,0.83,1,1.79,9
4179,3,0.83,2,0.84,2
7246,3,0.96,2,0.25,3
6601,5,0.98,9,0.54,8
5998,1,0.96,5,0.69,6
2049,7,0.84,8,1.56,8
4781,1,0.88,9,0.14,10
717,0,0.92,0,1.01,10
7940,5,0.83,5,0.87,10
5566,6,0.84,8,1.94,6
4545,1,0.86,3,0.44,7
4977,7,0.9,9,1.29,2
3420,1,0.9,2,0.48,7
7240,3,0.96,5,1.14,3
9767,2,0.95,5,1.15,5
250,3,0.98,1,0.24,0
8866,6,0.97,4,0.97,1
771,4,0.85,0,0.98,6
4364,2,0.87,8,0.71,5
1078,4,0.9,8,0.63,9
8428,1,0.8,2,0.53,4
8581,0,0.98,4,0.11,6
7902,6,0.81,2,0.1,1
4859,1,0.86,6,1.22,9
6545,7,0.91,0,0.65,3
4720,1,0.9,4,0.42,4
2815,2,0.93,5,1.4,7
3375,3,0.91,6,1.1,5
1253,0,0.85,2,1.84,5
6997,4,0.84,6,1.68,4
4674,1,0.98,3,1.48,9
4531,1,0.85,9,0.34,4
6882,3,0.86,5,1.37,0
6950,0,0.88,4,1.42,3
9522,5,0.83,3,1.55,8
6242,4,0.9,5,0.6,1
8018,1,0.93,2,1.32,10
6942,1,0.96,2,1.27,5
9551,5,0.94,4,0.83,1
7003,4,0.83,4,1.36,8
1332,2,0.89,8,0.26,4
4262,2,0.81,3,1.32,8
7649,6,0.8,4,1.25,9
9551,6,0.89,8,0.5,4
5116,7,0.85,3,1.65,8
4638,3,0.94,2,1.76,1
4855,0,0.94,6,0.5,10
3178,1,0.98,6,0.24,6
7731,4,0.95,7,1.25,7
2181,1,0.81,3,1.01,2
4893,6,0.87,3,0.91,0
7044,7,0.85,8,1.55,1
138,4,0.88,9,1.94,9
6328,4,0.83,6,1.01,4
3473,1,0.82,2,0.11,8
5450,3,0.9,8,1.23,4
2833,7,0.94,4,1.34,0
3580,3,0.94,3,1.67,0
5972,7,0.89,0,0.48,1
4165,1,0.9,8,1.1,0
7942,7,0.9,5,0.95,7
5570,2,0.94,1,1.36,1
4301,4,0.81,6,0.22,10
6270,0,0.94,2,1.78,7
3819,1,0.92,5,1.07,10
1907,5,0.84,7,1.77,4
6255,0,0.81,2,0.75,0
761,1,0.82,4,1.34,3
7831,0,0.9,5,1.92,1
7351,2,0.95,0,1.89,5
6239,0,0.87,9,1.89,4
6091,7,0.88,6,0.18,8
6032,6,0.99,3,0.87,2
7688,0,0.84,9,0.22,4
9092,1,0.82,6,0.69,9
9912,5,0.87,6,0.43,6
8473,5,0.95,4,1.28,8
1888,6,0.93,7,1.58,2
3267,3,0.88,7,1.08,3
667,6,0.99,4,1.61,0
4189,4,0.95,4,0.12,1
672,0,0.81,6,1.66,2
6778,5,0.95,5,0.44,9
7571,6,0.8,3,0.98,6
7957,0,0.93,1,0.94,6
5125,4,0.84,7,1.76,0
5586,5,0.94,2,1.94,8
4778,4,0.86,1,0.58,2
3901,0,0.97,9,0.23,2
6678,1,0.87,6,1.34,1
6982,0,0.92,9,1.06,2
6377,6,0.86,5,1.17,5
524,4,0.98,7,0.19,9
2394,1,0.96,5,1.57,3
2594,1,0.85,6,0.54,1
9946,3,0.99,1,0.74,7
7241,5,0.87,9,0.53,0
6938,7,0.93,1,1.9,9
6191,1,0.95,5,0.42,7
5241,4,0.8,8,1.49,1
6494,5,0.99,2,0.57,8
2879,2,0.87,9,0.91,3
4144,0,0.84,7,1.99,3
3645,6,0.97,4,0.29,6
4433,4,0.94,5,1.77,2
1277,2,0.82,5,1.9,9
5812,4,0.82,9,1.43,2
303,0,0.94,2,0.12,3
639,3,0.81,4,1.66,9
56,4,0.98,0,1.78,2
8718,1,0.95,1,1.96,9
8151,7,0.87,9,1.69,7
2126,1,0.87,2,0.95,8
365,0,0.9,3,1.41,4
6810,4,0.87,8,1.02,2
4622,7,0.96,0,0.77,6
5127,1,0.99,2,1.29,2
5123,7,0.92,2,1.56,5
1647,6,0.89,5,1.31,10
919,0,0.84,4,1.67,3
2798,3,0.93,2,0.44,6
6507,3,0.94,3,0.81,5
5871,4,0.94,6,0.69,6
1532,1,0.81,2,0.47,3
8173,2,0.98,8,0.94,10
3346,0,0.87,7,1.9,5
7674,1,0.95,1,1.12,9
6950,1,0.95,4,0.64,6
6883,3,0.93,3,0.77,9
1907,4,0.88,4,1.26,7
3087,7,0.92,2,0.77,9
8153,0,0.81,9,1.12,8
5751,6,0.95,0,0.62,2
8906,7,0.82,7,0.76,4
1063,5,0.88,8,1.44,9
1977,5,0.82,7,1.21,2
1297,0,0.97,3,0.28,4
6230,4,0.91,1,1.95,1
